Sex,SmokingStatus,IssueAge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
M,NS,28,0.17,0.19,0.21,0.24,0.26,0.29,0.32,0.37,0.41,0.51,0.59,0.65,0.70,0.79,0.88,0.95,1.04,1.12,1.19,1.28,1.42,1.59,1.79,2.01,2.26,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,29,0.16,0.17,0.21,0.25,0.27,0.30,0.34,0.38,0.43,0.54,0.62,0.68,0.73,0.82,0.90,0.99,1.10,1.18,1.27,1.39,1.54,1.74,1.96,2.20,2.47,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,30,0.14,0.16,0.22,0.25,0.27,0.30,0.34,0.39,0.46,0.56,0.63,0.69,0.75,0.84,0.92,1.04,1.16,1.26,1.36,1.50,1.68,1.90,2.14,2.40,2.69,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,31,0.13,0.15,0.22,0.26,0.28,0.31,0.35,0.41,0.51,0.60,0.66,0.71,0.78,0.87,0.97,1.11,1.24,1.34,1.47,1.62,1.83,2.07,2.33,2.62,2.90,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,32,0.14,0.15,0.23,0.27,0.30,0.33,0.39,0.45,0.56,0.64,0.70,0.75,0.82,0.92,1.04,1.18,1.31,1.43,1.58,1.76,1.98,2.25,2.54,2.83,3.11,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,33,0.14,0.16,0.25,0.29,0.32,0.37,0.43,0.50,0.60,0.68,0.73,0.78,0.87,0.99,1.11,1.26,1.40,1.53,1.69,1.90,2.16,2.45,2.76,3.05,3.32,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,34,0.15,0.17,0.27,0.31,0.35,0.40,0.46,0.55,0.65,0.71,0.76,0.83,0.94,1.06,1.19,1.34,1.49,1.64,1.82,2.06,2.35,2.68,2.99,3.29,3.55,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,35,0.15,0.18,0.28,0.34,0.39,0.44,0.50,0.60,0.68,0.74,0.81,0.90,1.02,1.15,1.28,1.44,1.59,1.76,1.97,2.25,2.58,2.92,3.25,3.54,3.83,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,36,0.15,0.19,0.31,0.37,0.43,0.48,0.56,0.65,0.72,0.79,0.88,0.98,1.11,1.24,1.38,1.54,1.71,1.90,2.16,2.48,2.84,3.20,3.52,3.83,4.18,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,37,0.15,0.21,0.33,0.40,0.47,0.53,0.62,0.69,0.77,0.86,0.96,1.07,1.21,1.35,1.50,1.66,1.85,2.08,2.38,2.75,3.14,3.50,3.83,4.18,4.61,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,38,0.15,0.24,0.37,0.43,0.50,0.58,0.67,0.74,0.83,0.95,1.06,1.18,1.32,1.47,1.63,1.81,2.03,2.30,2.66,3.07,3.47,3.82,4.18,4.59,5.12,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,39,0.16,0.28,0.40,0.47,0.55,0.64,0.72,0.80,0.91,1.04,1.17,1.29,1.45,1.61,1.78,1.99,2.25,2.58,2.99,3.42,3.81,4.18,4.57,5.06,5.71,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,40,0.18,0.32,0.44,0.52,0.60,0.69,0.77,0.86,0.99,1.14,1.27,1.41,1.58,1.77,1.96,2.20,2.52,2.92,3.36,3.79,4.18,4.57,5.01,5.63,6.33,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,41,0.20,0.36,0.48,0.56,0.65,0.73,0.82,0.93,1.09,1.24,1.38,1.54,1.74,1.95,2.17,2.47,2.85,3.30,3.77,4.18,4.56,4.97,5.51,6.22,6.99,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,42,0.24,0.40,0.51,0.61,0.70,0.78,0.87,1.01,1.18,1.34,1.49,1.68,1.91,2.15,2.42,2.77,3.22,3.71,4.17,4.56,4.95,5.44,6.08,6.85,7.70,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,43,0.28,0.43,0.55,0.66,0.75,0.82,0.94,1.10,1.28,1.45,1.62,1.83,2.10,2.38,2.69,3.11,3.62,4.13,4.56,4.94,5.37,5.98,6.73,7.59,8.52,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,44,0.32,0.46,0.59,0.72,0.79,0.88,1.02,1.21,1.38,1.56,1.76,2.01,2.32,2.63,2.99,3.47,4.02,4.53,4.93,5.36,5.86,6.62,7.50,8.45,9.46,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,45,0.37,0.49,0.64,0.78,0.85,0.96,1.14,1.32,1.49,1.69,1.93,2.22,2.55,2.90,3.32,3.85,4.43,4.92,5.35,5.84,6.45,7.40,8.39,9.43,10.58,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,46,0.42,0.51,0.69,0.84,0.93,1.07,1.27,1.45,1.62,1.85,2.14,2.46,2.81,3.19,3.66,4.23,4.84,5.34,5.81,6.37,7.17,8.31,9.38,10.54,11.86,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,47,0.46,0.53,0.75,0.92,1.03,1.21,1.41,1.59,1.77,2.05,2.38,2.72,3.08,3.50,4.01,4.64,5.27,5.80,6.33,7.01,8.03,9.35,10.52,11.84,13.34,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,48,0.49,0.57,0.82,0.99,1.15,1.37,1.56,1.73,1.95,2.29,2.65,2.99,3.36,3.81,4.38,5.05,5.72,6.30,6.93,7.79,9.02,10.50,11.82,13.31,15.05,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,49,0.51,0.63,0.90,1.08,1.29,1.52,1.70,1.88,2.17,2.57,2.94,3.26,3.64,4.14,4.77,5.50,6.20,6.84,7.62,8.67,10.12,11.72,13.25,15.02,17.04,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
